"filename", "language", "JSON with Comments", "TypeScript", "Markdown", "JavaScript", "JSON", "CSS", "XML", "TypeScript JSX", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\local-storage.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\placeholder-data.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 5, 84
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\subjects.ts", "TypeScript", 0, 492, 0, 0, 0, 0, 0, 0, 0, 9, 61, 562
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\swr-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-events.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-files.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-data.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-main-posts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-primitive-subjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-ranking.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-subjects.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-unseen-messages.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-user.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\use-users.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils.ts", "TypeScript", 0, 379, 0, 0, 0, 0, 0, 0, 0, 14, 67, 460
"c:\Users\admin\Desktop\Next-js\agenda\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\admin\Desktop\Next-js\agenda\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\admin\Desktop\Next-js\agenda\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 11, 215
"c:\Users\admin\Desktop\Next-js\agenda\app\seed\route.ts", "TypeScript", 0, 180, 0, 0, 0, 0, 0, 0, 0, 19, 21, 220
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\account-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 6, 98
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-button2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 17, 212
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-event-form2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 239, 0, 0, 24, 263
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\add-main-post-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 16, 148
