"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar.tsx", "TypeScript JSX", -30, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\calendar3.tsx", "TypeScript JSX", -2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-client.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-event.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-main-post.tsx", "TypeScript JSX", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\edit-message.tsx", "TypeScript JSX", -6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\file-tree.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header.tsx", "TypeScript JSX", -35, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\header2.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 129, 36, 167
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\main.tsx", "TypeScript JSX", -4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\modal.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag.tsx", "TypeScript JSX", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-tag2.tsx", "TypeScript JSX", -18, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, -3
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-client2.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event.tsx", "TypeScript JSX", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-main-post.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-message.tsx", "TypeScript JSX", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\middleware.ts", "TypeScript", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, -7, -26
"c:\Users\admin\Desktop\Next-js\agenda\next.config.mjs", "JavaScript", 0, 0, 0, 0, 0, -2, 0, 0, 0, -1, -2, -5
"c:\Users\admin\Desktop\Next-js\agenda\package.json", "JSON", 0, 0, 0, 0, 0, 0, -52, 0, 0, 0, -1, -53
"c:\Users\admin\Desktop\Next-js\agenda\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, -3507, 0, -1012, -4519
"c:\Users\admin\Desktop\Next-js\agenda\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, -6, 0, 0, 0, -1, -2, -9
"c:\Users\admin\Desktop\Next-js\agenda\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\admin\Desktop\Next-js\agenda\tailwind.config.ts", "TypeScript", 0, 0, -57, 0, 0, 0, 0, 0, 0, -4, -4, -65
"c:\Users\admin\Desktop\Next-js\agenda\tsconfig.json", "JSON with Comments", 0, 0, 0, -28, 0, 0, 0, 0, 0, 0, -1, -29
"Total", "-", -185, 28, -338, -31, -23, -8, -52, -2, -3507, 595, -976, -4499
