"filename", "language", "JSON", "TypeScript", "YAML", "JavaScript", "JSON with Comments", "MS SQL", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\sidebar\profile-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -56, -1, -9, -66
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\sidebar\sidebar-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -134, 0, -14, -148
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\sidebar\sidebar-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -54, -3, -8, -65
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\subject-box-info.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, -3, -17
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\timer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, -1, -32
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\verify-email\send\send-email-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -66, 0, -10, -76
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\verify-email\verify\verify-email-static.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -54, -2, -10, -66
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-client2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -171, -150, -48, -369
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-event-skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -41, 0, -1, -42
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\view-message.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -78, 0, -14, -92
"c:\Users\admin\Desktop\Next-js\agenda\app\ui\weekly-challenges.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -359, -4, -61, -424
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\actions\actions.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\components\send-email-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, -1, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\components\send-email-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 1, 8
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\send\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 5
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\actions\actions.ts", "TypeScript", 0, -8, 0, 0, 0, 0, 0, 0, 0, 1, 8, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\components\verify-email-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\components\verify-email-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, -1, 7
"c:\Users\admin\Desktop\Next-js\agenda\app\verify-email\verify\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\admin\Desktop\Next-js\agenda\auth\dal.ts", "TypeScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 20, 96
"c:\Users\admin\Desktop\Next-js\agenda\auth\logic.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 4, 18, 221
"c:\Users\admin\Desktop\Next-js\agenda\autth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -224, -28, -252
"c:\Users\admin\Desktop\Next-js\agenda\db\logic.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\admin\Desktop\Next-js\agenda\db\main-posts\main-posts.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 0, 1, 12, 125
"c:\Users\admin\Desktop\Next-js\agenda\db\main-posts\types.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\admin\Desktop\Next-js\agenda\db\primitive-subjects.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"c:\Users\admin\Desktop\Next-js\agenda\db\primitive-users.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 5, 62
"c:\Users\admin\Desktop\Next-js\agenda\db\schema.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 8, 44
"c:\Users\admin\Desktop\Next-js\agenda\db\seed.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, -11, 1, -5
"c:\Users\admin\Desktop\Next-js\agenda\db\subjects.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 2, 72
"c:\Users\admin\Desktop\Next-js\agenda\db\users.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 2, 61
"c:\Users\admin\Desktop\Next-js\agenda\db\verification-tokens.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0015_fuzzy_cassandra_nova.sql", "MS SQL", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0016_complex_maverick.sql", "MS SQL", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 0, 21
"c:\Users\admin\Desktop\Next-js\agenda\drizzle\0017_unknown_blackheart.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
