"filename", "language", "JSON with Comments", "JSON", "TypeScript", "JavaScript", "Markdown", "JavaScript JSX", "YAML", "TypeScript JSX", "MS SQL", "XML", "PostCSS", "comment", "blank", "total"
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\resources\posts\components\view-post-button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\resources\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 58
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\components\option-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 1, 3, 37
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\components\subject-combobox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 5, 18, 210
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\components\subject-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 1, 5, 38
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\actions\actions.ts", "TypeScript", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 67
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\actions\validation.ts", "TypeScript", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\components\email-item.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\components\information-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 593, 0, 0, 0, 35, 56, 684
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\components\information-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 2, 4, 26
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\components\scroll-shadow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 3, 12, 61
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\information\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 4, 9, 85
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\tools-and-simulations\components\tools-and-simulations-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 6, 66
"c:\Users\admin\Desktop\Next-js\agenda\app\gemif\tools-and-simulations\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 5, 27
"c:\Users\admin\Desktop\Next-js\agenda\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 216, 291, 54, 561
"c:\Users\admin\Desktop\Next-js\agenda\app\icons\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\actions\actions.ts", "TypeScript", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 96
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\components\initial-setup-subjects-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 240, 0, 0, 0, 4, 31, 275
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\components\initial-setup-subjects-server.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\subjects\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 1, 6, 133
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\actions.ts", "TypeScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 90
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\actions\validation.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\initial-setup-user-info-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 10, 54
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\components\welcome-overlay.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 6, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\initial-setup\user-info\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 4, 73
"c:\Users\admin\Desktop\Next-js\agenda\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 1, 12, 133
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\definitions.ts", "TypeScript", 0, 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 364
"c:\Users\admin\Desktop\Next-js\agenda\app\lib\utils2.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\admin\Desktop\Next-js\agenda\app\login\actions\actions.ts", "TypeScript", 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 9, 13, 109
"c:\Users\admin\Desktop\Next-js\agenda\app\login\actions\validation.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\admin\Desktop\Next-js\agenda\app\login\components\login-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 11, 48
"c:\Users\admin\Desktop\Next-js\agenda\app\login\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 4, 44
"c:\Users\admin\Desktop\Next-js\agenda\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 5, 12, 100
"c:\Users\admin\Desktop\Next-js\agenda\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 7, 17, 205
"c:\Users\admin\Desktop\Next-js\agenda\app\playground\components\playground-header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 2, 16
"c:\Users\admin\Desktop\Next-js\agenda\app\playground\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
